Age,Experience,Skill,RushFactor,WorkStart,WorkDuration,WorkEnd,HomeLat,HomeLng,WorkLat,WorkLng,PreviousAccidents,Accidents
70,48,1.299,1.025,7,5,12,59.8357,30.1508,59.9182,30.3501,4,0
31,7,1.287,1.239,10,10,20,60.0022,30.3397,59.8302,30.3779,4,0
36,15,1.270,0.769,11,7,18,60.0738,30.3278,60.0349,30.4175,1,0
33,8,1.298,1.071,9,8,17,59.9101,30.3217,59.8650,30.3237,0,0
39,13,0.935,0.722,10,7,17,59.9234,30.5016,59.8280,30.3313,3,0
39,16,1.426,1.092,9,7,16,59.9311,30.4082,59.8519,30.2671,2,0
31,10,1.536,0.965,9,9,18,59.9912,29.7744,59.9725,30.4088,8,1
61,38,1.180,0.697,9,7,16,60.0012,30.3365,60.0195,30.6501,0,0
24,3,0.804,1.800,9,12,21,60.0056,30.4300,59.9366,30.3642,0,0
44,22,1.207,1.153,10,7,17,59.8288,30.4163,59.9670,30.3072,2,4
74,35,0.924,0.715,9,7,16,59.8285,30.1427,59.9364,30.3158,3,1
37,12,0.947,0.983,10,8,18,60.0256,30.3774,59.8541,30.3601,3,0
26,4,0.806,1.270,11,8,19,59.8607,30.2420,60.0228,30.3328,2,0
28,6,0.996,1.495,12,9,21,60.0444,30.3819,59.9451,30.3617,3,0
44,25,1.119,0.785,9,9,18,60.0030,30.2200,59.9083,30.2945,2,0
87,33,1.341,0.531,9,8,17,59.8764,30.3246,59.7201,30.4001,0,1
18,0,0.509,3.258,9,6,15,59.9589,30.2906,59.8575,30.3146,3,0
26,5,1.006,0.883,10,11,21,59.8521,30.1804,59.9136,30.3192,1,0
40,14,1.262,0.996,9,8,17,59.9853,30.3527,59.8441,30.3235,2,0
39,18,1.605,1.037,8,10,18,59.9250,30.3319,59.8313,30.1502,4,1
22,2,0.757,2.288,8,4,12,59.9240,30.4085,60.0165,30.3217,0,1
58,32,1.153,0.930,16,5,21,59.9239,30.4185,60.0371,30.4742,2,0
19,1,0.918,2.995,8,8,16,60.1228,30.1387,60.0229,30.2884,5,1
45,20,0.847,0.942,10,8,18,60.0015,30.3643,59.9168,30.3185,0,0
84,38,1.297,0.704,8,8,16,60.0153,30.2446,59.9119,30.5092,2,1
38,17,0.778,1.636,9,8,17,59.8679,30.4610,60.0155,30.3324,4,0
41,15,2.018,0.971,8,5,13,59.8642,30.3648,60.0108,30.3243,4,0
28,6,0.896,1.786,9,7,16,59.8704,30.4367,60.0158,30.3307,3,1
53,37,0.964,0.873,10,7,17,59.8253,30.4037,59.9367,30.2237,1,2
33,10,1.217,1.098,9,9,18,59.8337,30.0861,60.0003,30.2985,0,1
29,6,0.908,1.470,10,7,17,59.8464,30.3275,60.0041,30.3660,0,0
55,39,1.333,0.974,11,9,20,60.0422,30.3764,59.9353,30.3286,1,0
48,24,0.860,1.287,9,7,16,59.8759,30.4395,59.8849,30.4694,0,0
31,8,0.811,1.354,9,8,17,59.8365,30.1434,59.9333,30.3502,3,0
48,25,1.220,1.061,10,4,14,59.8351,30.3930,59.8497,30.3230,1,0
