Age,Experience,Skill,RushFactor,WorkStart,WorkDuration,WorkEnd,HomeLat,HomeLng,WorkLat,WorkLng,Distance,ToWork,ToHome
70,48,1.299,1.025,7,5,12,59.8391,30.3908,59.9317,30.2458,13.091,18.009,18.016
41,14,1.429,1.426,12,9,21,59.8313,30.1984,59.9599,30.3028,15.434,18.656,18.134
21,2,0.789,2.394,9,6,15,60.0207,30.2478,59.9281,30.2479,10.294,15.707,14.449
81,43,1.344,0.553,10,11,21,59.8342,30.4248,60.0191,30.3119,21.500,23.968,24.196
75,34,1.216,0.973,11,10,21,59.8802,30.3906,59.8989,30.2741,6.826,11.562,11.810
34,11,1.126,1.408,8,9,17,60.0128,30.4232,59.9143,30.4750,11.334,13.271,13.702
46,19,1.281,0.637,10,7,17,59.8756,30.3939,59.9949,30.1433,19.256,26.092,24.853
83,43,1.156,0.780,9,8,17,59.8686,30.3649,59.9912,30.3237,13.818,16.472,16.574
57,35,1.841,1.044,10,9,19,59.8267,30.1817,59.9612,30.2909,16.139,18.905,18.952
76,32,0.612,0.822,10,12,22,59.9720,30.4014,60.0068,30.1172,16.273,17.972,18.655
49,29,1.426,0.795,10,8,18,59.8591,30.3783,59.9332,30.2974,9.390,11.457,11.801
56,30,0.911,0.605,9,8,17,59.8507,30.2683,59.9881,30.2550,15.298,22.094,21.323
73,54,1.459,1.058,15,6,21,59.8543,30.4699,59.9459,30.3614,11.847,13.706,13.433
35,12,0.513,1.266,7,7,14,59.9114,30.3052,60.0361,30.4241,15.362,17.649,17.809
42,20,0.959,1.010,8,10,18,60.0109,30.4141,59.8656,30.4051,16.160,28.366,27.403
27,5,0.961,1.016,9,5,14,59.9432,30.3886,59.8803,29.9146,27.336,41.816,47.406
58,35,1.193,1.096,8,7,15,59.8435,30.2560,59.9370,30.2893,10.562,15.253,14.744
38,14,1.126,0.890,11,7,18,60.0063,30.6080,60.0494,30.3558,14.805,22.033,26.992
33,12,1.110,0.747,11,9,20,59.9086,30.2498,60.1072,30.4937,25.913,32.385,31.490
52,27,1.256,0.902,9,9,18,59.8625,30.2509,60.0261,30.6492,28.687,50.315,51.632
78,30,1.366,0.808,7,6,13,59.8763,29.8898,60.0152,30.3290,28.935,70.265,54.663
51,27,1.072,1.220,10,9,19,59.8665,30.4469,59.9751,30.3424,13.408,15.653,15.526
25,4,0.864,1.094,11,7,18,59.9855,30.2814,60.0382,30.4760,12.304,16.269,16.013
61,38,0.972,0.908,7,10,17,59.9635,30.2872,59.9236,30.2878,4.439,6.210,5.771
31,7,0.826,1.084,9,6,15,59.8349,30.5188,59.9519,30.3290,16.774,18.855,19.318
51,24,1.891,1.116,8,10,18,59.9879,30.2265,59.9391,30.4887,15.574,19.346,19.005
54,26,0.786,0.876,7,9,16,60.0012,30.2830,59.8751,30.4378,16.463,19.302,19.645
31,8,1.143,1.046,14,7,21,59.8858,29.9006,59.9039,30.4813,32.450,59.171,52.223
61,28,1.640,0.610,9,8,17,59.7313,30.3482,59.8787,30.5247,19.140,26.359,25.640
83,43,1.281,0.735,8,8,16,60.0358,30.4308,59.9388,30.4889,11.262,20.336,20.262
43,18,1.253,0.923,12,5,17,59.8601,30.1905,60.0150,30.3910,20.524,25.082,25.369
41,14,1.112,0.978,9,6,15,59.8385,30.4887,59.9435,30.2815,16.424,19.041,18.601
28,6,1.357,1.539,10,8,18,59.8530,30.2112,59.9336,30.3606,12.237,14.037,14.424
28,6,0.820,1.222,9,8,17,59.8064,30.3847,60.0202,30.6449,27.844,41.049,42.657
49,34,0.621,1.107,8,8,16,59.9893,29.7929,59.9660,30.3075,28.746,47.150,47.977
46,23,1.501,0.977,10,8,18,59.8271,30.1949,60.0224,30.3271,22.924,26.448,26.654
39,14,0.809,1.168,11,7,18,59.8913,30.4836,60.0061,30.4446,12.948,22.653,22.661
52,29,1.452,0.950,11,12,23,59.8876,30.4857,59.9600,30.3060,12.854,15.585,15.880
31,8,1.261,1.524,17,10,3,59.9264,30.4116,60.0515,30.3359,14.533,17.398,17.858
46,19,1.368,1.149,15,9,0,60.0194,30.2254,59.9531,30.3608,10.538,12.635,12.381
49,24,1.291,1.085,11,8,19,59.9048,29.7661,59.8760,29.9125,8.770,11.010,10.653
29,6,1.378,1.513,9,9,18,59.8829,30.4663,59.9960,30.1429,21.970,27.469,27.778
20,1,0.577,2.670,9,6,15,60.0535,30.3372,59.9328,30.3533,13.444,14.950,14.584
44,15,1.441,0.892,8,10,18,60.0553,30.0059,60.0108,29.7177,16.753,20.639,21.095
81,47,1.507,0.679,11,7,18,59.8617,30.4999,59.9395,30.2758,15.197,18.635,18.480
25,3,0.536,1.413,8,10,18,59.7324,30.4068,60.0416,30.3231,34.699,53.147,53.850
34,12,1.171,0.980,11,8,19,59.9045,30.4726,59.9337,30.3562,7.257,8.744,9.754
33,10,1.488,1.244,10,8,18,59.7401,30.5629,59.9693,30.4310,26.529,39.063,39.958
20,1,0.567,2.205,8,11,19,59.9385,30.3709,59.8335,30.3538,11.722,13.226,13.183
32,9,1.648,1.397,10,9,19,59.8442,30.2299,59.9879,30.2898,16.330,20.985,20.632
39,13,1.472,1.024,7,6,13,59.8935,30.4708,59.8502,30.2586,12.786,15.131,14.722
27,6,1.317,1.164,9,10,19,59.8653,30.4506,59.9957,30.2020,20.047,24.618,24.347
41,17,1.230,1.137,13,10,23,59.8516,30.1542,59.9929,30.4410,22.409,26.971,48.609
61,39,1.260,0.669,9,8,17,59.8661,30.3924,60.0219,30.3172,17.817,19.786,20.048
35,13,1.089,0.799,11,10,21,60.0399,30.3560,59.8806,29.9121,30.401,73.475,75.881
37,15,1.459,1.348,14,5,19,59.8339,30.1399,59.9433,30.2813,14.492,18.172,18.288
41,16,1.088,0.908,7,10,17,59.8567,30.1914,59.9673,30.4049,17.112,20.900,21.294
26,5,0.598,1.242,9,12,21,60.0695,30.3895,59.9333,30.4179,15.229,21.169,19.215
40,13,1.430,0.754,11,7,18,60.0500,30.3388,59.9392,30.2367,13.563,17.979,16.853
34,9,1.151,0.869,9,7,16,59.8544,30.2094,59.8818,30.3692,9.428,11.862,12.584
40,16,1.535,0.753,7,6,13,59.8504,30.4179,59.9887,30.2950,16.841,19.556,19.553
49,24,0.904,0.804,10,12,22,59.8361,30.5070,59.9507,30.3045,17.025,19.212,19.015
29,7,0.934,0.906,10,7,17,59.8828,30.4647,60.1126,30.4863,25.580,34.008,34.038
29,7,0.797,0.891,10,4,14,59.9856,30.2932,59.9327,30.3542,6.792,8.049,8.720
25,3,0.892,1.665,9,5,14,59.9370,30.4949,60.0587,30.3603,15.469,23.394,23.018
48,28,1.403,0.930,9,7,16,59.9410,30.5023,60.0161,30.3124,13.466,16.775,16.626
37,16,1.427,1.046,7,9,16,60.0177,30.2714,59.9256,30.2845,10.261,13.387,13.553
25,4,0.955,1.124,7,6,13,59.8400,30.1613,60.0934,30.3828,30.763,56.835,59.067
77,40,1.477,0.742,9,9,18,59.8323,30.1724,59.9594,30.3199,16.351,18.914,19.737
54,31,1.415,1.345,10,8,18,59.9316,30.4667,59.8744,30.4496,6.426,9.058,8.649
32,8,1.064,0.799,8,8,16,59.9322,30.2471,60.0720,30.2333,15.571,22.634,23.227
48,30,0.939,1.238,8,8,16,60.0405,30.3435,59.9426,30.2770,11.497,14.838,14.003
41,15,1.819,0.871,11,12,23,60.0131,30.3279,59.9515,30.3068,6.943,8.149,8.619
45,23,1.582,0.964,9,10,19,59.8683,30.2641,60.0169,30.3206,16.818,19.602,19.870
68,45,1.316,0.834,9,4,13,59.8641,30.4001,60.0267,30.2716,19.445,22.786,22.890
60,24,1.155,0.887,10,11,21,59.8901,30.4835,60.0031,30.3443,14.764,25.197,17.822
43,19,1.420,0.994,10,8,18,60.0621,30.3227,59.9082,30.3459,17.171,18.616,18.794
42,16,1.325,1.369,10,9,19,59.8299,30.5094,59.9685,30.3499,17.796,19.966,19.832
28,5,0.862,0.783,11,11,22,60.0140,30.2676,60.0112,30.0149,14.047,17.899,17.719
30,7,1.183,1.032,8,11,19,59.8384,30.4057,59.8518,30.1407,14.876,17.353,17.403
28,6,0.859,1.118,7,8,15,60.0125,30.2437,59.8975,30.4169,16.021,19.076,20.328
38,16,1.006,1.026,11,8,19,59.9467,30.4869,59.8491,30.3243,14.136,27.994,29.920
76,37,1.066,0.847,9,8,17,59.9001,30.4936,60.0259,30.6474,16.391,20.978,28.680
78,44,1.399,0.558,8,5,13,59.9517,30.4742,60.0256,30.3192,11.905,14.130,14.255
25,3,0.532,1.569,8,8,16,59.8954,30.4735,59.8441,30.1736,17.686,32.120,32.762
40,19,1.585,0.749,9,10,19,59.8552,30.3418,59.9586,30.2940,11.810,13.876,14.995
21,2,0.333,2.692,8,7,15,60.0083,30.7022,60.0350,30.3570,19.410,29.788,39.539
65,47,1.369,0.446,11,6,17,60.0485,30.3795,59.9460,30.3683,11.409,14.432,13.514
38,13,1.027,0.871,11,7,18,59.8538,30.2005,59.7395,30.0914,14.101,15.177,15.798
32,10,0.997,0.889,7,9,16,59.9837,30.3478,59.9210,30.4741,9.905,12.926,12.954
68,38,1.008,0.861,9,9,18,59.8318,30.2051,59.5806,30.1238,28.303,32.264,32.425
77,41,1.407,0.893,9,6,15,60.0097,30.0067,59.9348,30.3581,21.256,24.291,25.371
40,19,1.031,0.712,7,7,14,59.7237,30.4120,60.0513,30.4392,36.450,53.493,55.363
60,36,1.042,0.850,8,8,16,60.0049,30.2014,60.1080,30.3125,13.013,25.992,27.403
43,17,1.004,0.582,10,12,22,60.0651,30.4576,59.9349,30.3139,16.540,20.581,21.534
47,20,0.855,0.755,8,8,16,59.9446,30.4821,59.9336,30.3574,7.055,9.214,8.772
84,37,1.295,0.893,8,5,13,59.8366,30.3959,59.9712,30.3188,15.569,18.113,17.838
40,17,1.213,1.020,10,6,16,59.8336,30.1433,60.0005,30.2584,19.643,28.286,27.944
62,42,0.765,0.799,11,7,18,59.8873,30.9900,59.9364,30.3280,37.302,45.207,46.328
71,32,1.069,0.959,8,7,15,60.0650,30.4539,59.9441,30.3604,14.415,18.840,19.534
64,37,1.088,1.057,13,9,22,60.0046,30.1999,59.9305,30.3361,11.187,14.571,14.538
71,42,1.102,0.775,8,9,17,60.0146,30.3931,59.8615,30.3261,17.422,20.153,20.192
43,23,0.843,0.976,10,6,16,59.8702,30.4017,60.0055,30.3878,15.067,20.348,20.224
35,15,0.811,1.209,8,6,14,60.0082,30.0020,60.0281,30.2233,12.494,19.533,27.703
79,42,1.367,0.740,10,4,14,59.8530,30.2162,59.9080,30.2966,7.587,8.517,9.347
61,39,0.715,0.610,10,8,18,59.9310,30.4762,60.0203,30.3263,12.963,16.372,16.573
37,15,1.132,1.177,8,11,19,59.7093,30.7789,59.8401,30.3347,28.805,34.846,34.852
34,10,0.628,0.787,9,7,16,59.7089,30.4043,59.8665,30.4248,17.561,23.132,22.804
53,27,1.015,0.958,9,8,17,59.9376,30.2365,59.9006,30.5119,15.890,20.245,19.659
38,15,1.215,0.913,9,7,16,59.9506,30.5585,60.0388,30.3688,14.405,20.688,21.842
30,7,1.643,1.343,13,8,21,60.0788,30.3235,59.8345,30.3414,27.177,49.103,50.300
46,27,1.624,1.066,10,9,19,59.9226,30.2820,59.8505,30.1410,11.229,14.393,14.408
22,2,0.666,1.975,9,9,18,60.0516,30.4475,59.9301,30.3637,14.294,17.279,17.906
29,6,0.888,0.566,9,7,16,60.0247,30.3772,59.9207,30.3582,11.615,13.371,13.233
23,3,0.844,1.626,9,8,17,60.0450,30.3785,59.8857,30.3597,17.744,20.289,20.922
43,18,1.202,0.856,10,6,16,59.8603,30.1900,59.9868,30.2174,14.143,25.030,23.976
79,40,2.001,0.750,11,9,20,59.9648,30.2888,60.0766,30.3018,12.454,14.834,14.790
23,3,0.730,2.009,9,8,17,59.8284,30.4158,60.0032,30.3256,20.079,22.053,22.105
30,7,0.817,1.148,7,12,19,59.8498,30.2768,59.9663,30.3426,13.460,16.571,15.837
34,9,1.213,1.453,10,9,19,59.8494,30.1401,59.9661,30.3140,16.196,21.651,21.276
48,26,1.168,1.008,11,11,22,59.7366,30.5661,60.0376,30.4298,34.326,46.055,48.848
36,12,1.464,1.271,7,9,16,59.9114,30.4674,60.0178,30.3265,14.199,17.437,17.577
52,27,1.285,1.034,17,7,0,60.1105,30.4923,59.9859,30.3584,15.723,18.734,18.706
34,11,1.131,0.982,11,6,17,60.0098,30.6999,59.9127,30.3163,23.929,30.817,31.155
49,25,1.280,0.701,8,8,16,59.8536,30.1930,59.9263,30.3782,13.120,15.913,15.984
32,10,1.154,1.095,8,8,16,59.7356,30.3996,59.9307,30.3527,21.845,22.921,23.319
39,15,1.414,0.783,7,8,15,60.0047,30.1973,60.0978,29.9708,16.286,28.823,27.900
39,14,1.679,0.675,7,6,13,60.1106,30.4892,60.0061,30.2170,19.056,33.619,32.816
75,34,1.491,0.715,8,7,15,59.9491,30.5577,60.0110,30.3315,14.342,17.823,19.421
26,5,0.901,0.968,9,11,20,59.9325,30.2514,59.8828,29.8572,22.661,45.510,56.480
24,3,1.303,2.386,9,5,14,59.9357,30.2353,60.0520,30.4351,17.050,24.060,24.100
26,4,1.042,1.287,8,7,15,59.9477,30.3644,59.7522,30.5603,24.335,31.660,30.172
34,11,0.947,1.075,10,8,18,59.8732,30.3005,60.0326,30.2823,17.755,21.520,21.413
28,6,1.111,0.653,7,6,13,59.9989,30.3452,60.0689,30.3966,8.299,10.335,9.572
44,22,1.408,1.222,10,7,17,60.0053,30.4298,59.9152,30.2948,12.527,15.487,15.749
38,12,1.389,1.333,10,11,21,60.0258,30.2961,60.0167,30.2447,3.024,4.109,4.080
29,8,1.131,1.112,7,8,15,59.9956,29.7786,60.0726,30.3706,33.974,45.541,47.010
24,3,0.850,1.721,7,6,13,59.8302,30.2173,59.9341,30.3354,13.305,17.248,17.177
36,10,0.275,0.655,8,10,18,59.8632,30.3016,59.9480,30.3860,10.540,12.222,12.064
30,7,1.139,1.396,10,8,18,59.9313,30.2482,60.0146,30.3678,11.410,13.376,13.951
48,31,1.271,0.821,10,9,19,60.0080,30.6998,59.8294,30.2006,34.185,51.152,50.430
30,8,1.265,0.838,9,8,17,60.0361,30.4268,59.9359,30.3117,12.846,15.483,15.476
54,31,0.836,0.577,8,12,20,59.9841,30.2092,60.0936,29.9552,18.634,29.990,28.737
47,17,0.931,1.178,11,8,19,59.9147,30.4899,59.9980,30.3665,11.526,14.857,13.910
